1c-syntax/bsl-language-server	1118	2020-04-27T17:35:37Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNjAxMjQ0Ng==	info.getMessage() не нужно передавать	True
alibaba/nacos	3138	2020-06-22T01:46:07Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MzI4MjQ1Mg==	When the latch will count down?	False
antennapod/antennapod	4486	2020-10-01T21:04:01Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5ODUxMjIzOA==	Does this conflict with navigating the app using a dpad? (related: #445)	True
apache/accumulo	1519	2020-02-20T14:12:39Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4MjAyMjg0Mg==	I think Optional.of will throw an exception if null, so could drop the reqNonNull.                         Suggested change                                                                                                    this(new Path(metadataEntry), Optional.of(Objects.requireNonNull(metadataEntry)));                                                    this(new Path(metadataEntry), Optional.of(metadataEntry));	False
apache/calcite	2089	2020-07-31T03:29:16Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MzM4NjY3Mw==	Seems the toType should always be a Decimal type, we should add a check here. Also, can we add some doc to this method ?	True
apache/camel	3944	2020-06-25T07:40:59Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTM2NjIxMg==	Instead of a default value that is _default. Then why not leave it as null/empty and then use that to know if a custom scope was set or not	True
apache/druid	9518	2021-01-06T07:29:52Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU1MjQxMTY3MA==	nit:                         Suggested change                                                                                                 * So, This class overrides,ummm copies due to lack of extensibility, the methods from base class in order to keep                                                 * track of connection properties and call {@link MetadataStorageConnectorConfig#getPassword()} everytime a new                                                 * So, This class overrides (and largely copies due to lack of extensibility), the methods from base class in order to keep                                                 * track of connection properties and call {@link MetadataStorageConnectorConfig#getPassword()} everytime a new	False
apache/hudi	2374	2021-03-04T03:38:45Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU4NzA1MDU3NA==	So, model package should just contain pojos i.e data structure objects. Lets move TableService elsewhere	True
apache/ignite	8483	2020-12-01T10:22:45Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzMzI4NDk0Mw==	Space before  {	True
apache/incubator-doris	3454	2020-06-12T08:20:26Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzOTI3NzUzNg==	Suggested change                                                                                                public class EsFieldInfo {                                                public class EsFieldInfos {	False
apache/kafka	9098	2020-07-30T16:39:58Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MzEyODM5OA==	Ah, after reading your test, I now see the issue. I'd overlooked the fact that users would independently construct the table config object AND the cache. I see now that this makes it impossible to reliably capture the cache, since users have to actually choose to pass our special table config to the Options and then pass the Cache to that table config. This doesn't seem ideal. What do you think about just using reflection instead?                         Suggested change                                                                                                        if (tableFormatConfig instanceof BlockBasedTableConfigWithAccessibleCache) {                                                            final Cache cache = ((BlockBasedTableConfigWithAccessibleCache) tableFormatConfig).blockCache();                                                            metricsRecorder.addValueProviders(name, db, cache, statistics);                                                        } else {                                                            metricsRecorder.addValueProviders(name, db, null, statistics);                                                            log.warn("A table format configuration is used that does not expose the block cache. This means " +                                                                "that metrics that relate to the block cache may be wrong if the block cache is shared.");                                                        }                                                        if (tableFormatConfig instanceof BlockBasedTableConfig) {                                                            final BlockBasedTableConfig blockBasedTableConfig = (BlockBasedTableConfig) tableFormatConfig;                                                            try {                                                                final Field blockCacheField = BlockBasedTableConfig.class.getDeclaredField("blockCache_");                                                                blockCacheField.setAccessible(true);                                                                final Cache nullableBlockCache = (Cache) blockCacheField.get(blockBasedTableConfig);                                                                metricsRecorder.addValueProviders(name, db, nullableBlockCache, statistics);                                                            } catch (final NoSuchFieldException | IllegalAccessException | ClassCastException e) {                                                                log.warn("Expected to find and access field 'blockCache_' in BlockBasedTableConfig. " +                                                                             "Probably, an incompatible version of RocksDB is being used. " +                                                                             "Cache will be missing from memory metrics.", e);                                                                metricsRecorder.addValueProviders(name, db, null, statistics);                                                            }                                                        } else {                                                            metricsRecorder.addValueProviders(name, db, null, statistics);                                                        }                                 We would obviously test all the branches here to de-risk the reflection. We can also add a test that searches the classpath for implementations of TableFormatConfig to ensure we don't miss the memo if RocksDB adds a new TableFormatConfig implementation. Alternative thought, if you don't like the reflection: We would also subclass Options and override org.rocksdb.Options#setTableFormatConfig to check if the passed TableFormatConfig is a BlockBasedTableConfig, and if so, then we wrap it with BlockBasedTableConfigWithAccessibleCache.	True
apache/kylin	1065	2020-02-07T09:59:34Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NjMwNjU2Mw==	metricsInputStream  should not be closed for the same reason.	False
apache/lucene-solr	1815	2020-09-03T21:01:28Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4MzI1MTk0Mg==	Does this mean that every call to configSet.getIndexSchema() will create a new schema object (if shared schema is not enabled)?	True
apache/nifi	4627	2020-11-18T20:01:10Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNjM4MjQ2MA==	@tlsmith109 A new ticket should be opened if we want to modify TailFile as well as the ticket is specific to FetchSFTP That being said, it looks like there is code that already makes sure this is a directory [1].  Although, at first glance I am unsure why this wasn't handled here, as your code is suggesting. [1] https://github.com/apache/nifi/blob/main/nifi-nar-bundles/nifi-standard-bundle/nifi-standard-processors/src/main/java/org/apache/nifi/processors/standard/TailFile.java#L277	True
apache/shardingsphere	7151	2020-08-30T15:17:25Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3OTc4MjEyMQ==	Please use static import for Assert.assertNotNull	True
apicurio/apicurio-registry	357	2020-04-02T11:52:41Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMjI1MzY5Ng==	We need to check how they now support different types, and extend this facade accordingly.	True
artipie/artipie	675	2020-10-08T13:19:59Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwMTcxNDA1OQ==	@genryxy I think we may move this warning to class level, as both test methods in this class have @Timeout annotations	False
aws-greengrass/aws-greengrass-nucleus	70	2020-02-21T23:43:27Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4Mjg1NjA0Mg==	just call get which will return null anyway if the key isn't in the map.	True
axelor/axelor-open-suite	5515	2020-06-15T16:30:10Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MDMwMDQ1NQ==	concerns --> concern (no s), "and will" --> with Error messages should be defined in static variables in a separate interface.	False
axonframework/axonframework	1317	2020-01-21T17:53:00Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2OTE1MTU2OQ==	"Interesting" class name ;-)	False
azure/azure-libraries-for-java	1013	2020-02-10T01:52:06Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3Njg0MDg5Nw==	Not sure about proxy, or any other configure with origin restClient. If you are also not sure, add a TODO?	True
azure/azure-sdk-for-android	201	2020-02-25T21:21:32Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM4NDEzMzM1OA==	Renamed in favor of clarity.	False
azure/azure-sdk-for-java	12733	2020-07-02T02:31:01Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0ODcxNDExNQ==	should this test be renamed too? same the description of it?	True
bakdata/conquery	1395	2020-10-19T07:54:50Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNzU0MzMzNQ==	Ist header param hier richtig?	True
bisq-network/bisq	4504	2020-09-09T01:00:52Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NTI3NTgzNg==	Are httpSeed still used by default in BitcoinJ? If so I would prefer to still make sure to not use http seeds as they have some privacy issues.	True
broadinstitute/gatk	6989	2021-03-10T18:36:44Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU5MTc3MzQyNg==	I guess from reading the algorithm that only the ordering of this value between CutData instances is important, rather than the specific value, but it still makes me a little nervous to have this be a static class variable. Would you consider having a CutDataFactory object that keeps it as an instance variable, and could be scoped into the methods that are using it? That way if we ever multithreaded this or something we'd avoid some chaos.	False
broadinstitute/picard	1581	2020-09-24T20:14:13Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5NDU4NDA1MQ==	MMMMMMMMMMMMMMMMMssssssssss> should be: MMMMMMMMMMMMMMMMMSsssssssss>	False
candlepin/candlepin	2799	2020-09-24T13:38:02Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5NDMyMzU0Mg==	This is an expensive way to fetch the product information for active pools. If the goal here is to fetch products for active pools, we should do exactly that: fetch active pools and then pull the products from them in code (functionally identical to what we're doing here), or write a new curator method that fetches only products from active entitlements of a given organization.	True
catrobat/catroid	3703	2020-08-13T17:59:04Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3MDE0NDIwMA==	please delete this comment :)	False
cloudfoundry-incubator/multiapps-controller	883	2020-06-26T11:02:35Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NjExNjM0NA==	Rename to parametersList	True
cmsgov/dpc-app	753	2020-04-24T04:41:54Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNDI4NzkyNw==	If we know for sure the ID is a rosterID, do we need to go to the trouble of using an ambiguousID parameter to getProviderIDFromRoster()?  Why not call it rosterID?	False
confluentinc/schema-registry	1614	2020-09-08T18:46:26Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NTEyNTI5Mw==	nit: fix indentation	False
constellation-app/constellation	400	2020-04-06T00:51:03Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMzc4MzE5MA==	Make name final.	False
corfudb/corfudb	2829	2021-01-05T23:51:26Z	MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU1MjI2ODgyMg==	Out of curiosity, why does this need to be mocked?	True
